prompt,completion
" In front of the movie theater
"," Robin: You are looking at the new coin flip bimbo.
"
" Ted: You took the Heads or tails job?
"," Robin: Yeah.
"
" Ted: What about World Wide News, your I.D. badge? You made a New Year's resolution.
"," Robin: Okay, I also said I would never make out with a garbage man. Life is what happens when you're busy making other plans. What's with the gingerbread house?
"
" Ted: We're seeing a Christmas movie. It's a Christmas-themed movie snack.
"," Robin: Let's hope Santa brings you a girlfriend this year, Teddy.
"
" Ted from 2030:...This was happening.
"," Robin: And now she's totally winning Celebrity Rehab.
"
" Lily: I'm pregnant.
"," Robin: What?!
"
" Lily: I'm pregnant.
"," Robin: What?!
"
" Marshall: Do you think the others can tell we're freaking out?
"," Robin: What am I doing with my life?
"
" The Bar
"," Robin: I have never seen you guys looking so at peace. To Lily and Marshall.
"
" Ted: And you... You did not move to the greatest city on earth to become a coin-flipping bimbo. So here's how it's gonna work: Heads, you take the job at World Wide News; Tails, you take the job at World Wide News. Ow! Hey, looks like somebody got a new gig!
"," Robin: Fine, I'll call them tomorrow. I'll call them right now.
"
" Ted: Congratulations.
"," Robin: You know, that was really cool what you did. When we all needed it, you got us back on the right path.
"
" Ted: It's what I do.
"," Robin: Hey, Ted, if I, um, if I ever get married and you're not the guy I'm marrying...
"
" Ted: Big mistake, but go on.
"," Robin:...I could really use someone like you. You know, in case I freak out. When I freak out. You interested?
"
" Ted: Are you asking what I think you're asking?
"," Robin: Ted, will you be my best man?
"
" Ted (2030): Kids, as you know, Aunt Robin grew up in Canada. That meant sometimes she dressed &agrave; little differently.
"," Robin: Okay, let's do this!
"
" Ted (2030): Sometimes she talked a little differently.
"," Robin: Ted, this hydro bill is bigger than Louis Cyr's biceps. What, you leave the garburator on all night, eh?
"
" Barney: The... mmm. Social experiment. (Chanting) U.S.A, U.S.A, U.S.A, U.S.A...
"," Robin: Okay, okay. You know what, what does that even prove, okay? You chant anything, people we join in. (Chanting) Canada, Canada, Canada, Cana... Okay, they won't chant anything.
"
" Marshall: No!
"," Robin: What Gazzola's?
"
" Barney: Hmm.
"," Robin: You guys will not believe this. I've been talking to my lawyer all morning. You know that guy I have a slight disagreement with at the Hoser Hut? He's filing assault charges.
"
" Robin is in a bar where she fights.
"," Robin: Come on!
"
" End of flash-back
"," Robin: I broke his nose with a chair. And now, apparently, I may end up getting deported.
"
" Ted: Oh, my God, that sucks! Yeah. I'm gonna go do push-ups in the kitchen. Tantrum!
"," Robin: Well, there's only one possible way to avoid getting deported. My lawyer said I could become an American citizen.
"
" Barney: Perfect. Problem solved. Welcome aboard.
"," Robin: Well, it's not that simple. I'm a Canadian. I was born there. My family's there. It's who I am.
"
" Barney: I know, and it's provided us with a lot of laughs. But, Robin, if you want to live here, work here and throw chairs at people here, you have to do this.
"," Robin: Well, there's a citizenship test tomorrow.
"
" Barney: A cit...
"," Robin: I'll think about it.
"
" Barney: No, no, you have to do it. I'll help you study. We're gonna stay up all night long. I'm gonna drill you, and then we're gonna study. No, seriously. We're gonna do some cramming and then we're gonna study. No, seriously. We're gonna bone up on...
"," Robin: Okay, Barney.
"
" Barney: Sorry. It's a rich area.
"," Robin: It is.
"
" Barney: But you know, it's not going to be easy, this test. It's not like the Canadian citizenship test.
"," Robin: How do you know the Canadian test is easy?
"
" Barney: ""How many stars are on the flag?""
"," Robin: 50, one for each state.
"
" Barney: ""What are the first ten amendments to the Constitution called?""
"," Robin: The Bill of Rights. Look, Barney, I know all this. I'm ready.
"
" Barney: Ready for the test maybe, but ready to be an American? Not on your sweet life. For you to be an American, we got to get the Canadian out of you. That's why I've created these questions. Question one: ""Who is this?""
"," Robin: Queen Elizabeth II.
"
" Barney: No, the answer is Elton John. Question two: ""What the hell is this?""
"," Robin: Oh, curling. Um, it's a sport played...
"
" Ted (2030): And by the end of the night, Barney had turned Robin into a real American.
"," Robin: I want to say- Jefferson?
"
" Barney: Correct.
"," Robin: Oh!
"
" Barney: Archie Bunker's neighbor was George Jefferson.
"," Robin: Oh, boo-ya! I am nailing this. God, I'm buzzing on America right now!
"
" Barney: All right, hold your horses. Now to prove that you are as American as apple pie and the childhood obesity it leads to- who is this?
"," Robin: That, Barney, is the American actor, beloved by millions, the ""Hey, Vern"" guy from the popular series of Ernest films. And his name... Jeff Foxworthy.
"
" Barney: Jeff Foxworthy? No, it's Jim Varney. You're kidding me. You don't know that?
"," Robin: Uh, that's Jeff Foxworthy, dumbass. End of story. Now shut your stupid face.
"
" Robin walks on the street.
"," Robin: Oh, yeah, I'm gonna be an American, y'all. (She throws one bottle on the floor) Maybe I'll rob a liquor store. Maybe I won't. My choice. Learn English! The Hoser Hut. I could duck in for a drink. No, no, that life's behind me. Forget it. Well, I could in for just one beer. What's the harm in that? It's a free country. (She crosses the road and enter into the bar) *O Canada Our home and native land...* Oh, God, I miss it. *True patriots love...*
"
" Barney: Good morning.
"," Robin: Barney? Oh, my God. What happened last night?
"
" Barney: You went Canadian.
"," Robin: How Canadian?
"
" Barney: This Canadian. (He opens the curtains) Oh. That was supposed to be a dramatic view of the Toronto sky- you're in Toronto.
"," Robin: Oh, God. Okay. It's coming back to me. I, uh, I went into the Hoser Hut... And I met this women's curling team.
"
" Flash-back
"," Robin: We started drinking. And the next thing I know, they're inviting me to a Bryan Adams/Rich title double bill in Toronto.
"
" End of flash-back
"," Robin: How did you find me, anyway?
"
" Barney: You called me, said you were never coming back. So, I jumped on a plane, flew across the Atlantic...
"," Robin: Canada isn't across the Atlantic.
"
" Barney: You're talking nonsense. Now, listen... You slipped up. It's fine. The test is in a few hours.
"," Robin: Barney, I'm not taking the test.
"
" Barney: God, you're still drunk.
"," Robin: Look, I appreciate your help, but... who am I kidding? I'm Canadian. I always will be.
"
" Barney: It's like an entire country without a tailor.
"," Robin: Yeah, give me two coffees.
"
" Women: $3,50, please. Hey, what did you think of the game last night?
"," Robin: What game?
"
" Women: The Leafs beat Edmonton. Beauchemin went five hole in OT.
"," Robin: Oh, I guess I missed it.
"
" Women: Oh, sorry. You're American. Here's your change.
"," Robin: I'm not American.
"
" Barney: What's wrong? Other than the fact that this five dollar bill they gave you is blue.
"," Robin: Wow. I'm not American, and apparently, I'm not Canadian either.
"
" Barney: Look at this money! This one has a moose, this one has a beaver, and they all have Elton John on the back.
"," Robin: When I moved to the States, I swore to myself, I wasn't going to change. And yet, here I am, in the most Canadian place in the universe- Tim Horton's- around the corner from the Hockey Hall of Fame, and I don't belong. It's like I don't have a country.
"
" Barney: Man, those Canadian doctors banded me up, reset my jaw, put my shoulder back in its socket, and they didn't even bill me. Idiots. All right, I guess they're no idiots. The coffee was extraordinary. Huh. I guess Canada's not so bad. They play their cards right, maybe they can even become a state someday.
"," Robin: Barney, I've thought about this. When you stood up and told off those people, I thought, ""Yeah, America's cool.""
"
" Barney: Hmm.
"," Robin: And then when those guys pounded the stuffing out of you, I thought, ""Yeah, Canada's pretty cool, too."" I may have taken a few pokes myself. So, I've decided, dual citizenship. I'm going to be American and Canadian.
"
" Barney: Wait, you can do that?
"," Robin: Yeah, dummy. Instead of being a woman with no country, I'm going to be a woman with two.
"
" Barney: I see.
"," Robin: You understand?
"
" No. Then what we're saying is she's a crazy stalker bitch who pulled that fire alarm and you should run screaming.
"," Robin: You know what?
"
" Fine. Forgotten.
"," Robin: ""You are so beautiful. ""Why can't you see me? ""Someday, I'll make you see me ""and we'll be together. ""P.S. I love you. ""P.S. I love you. P.S. I love you. ""P.S. I love you. ""P.S. I love you. P.S. I love you.
"
" Barney: (to Robin) Hey, have you met Ted?
"," Robin: Let me guess, (points) Ted?
"
" Ted: So what do you do?
"," Robin: I'm a reporter for Metro News 1.
"
" Ted: (nods) Oh.
"," Robin: Well, kind of a reporter. I do those dumb little fluff pieces at the end of the news, you know. Like-um-monkey that can play the ukulele. I'm hoping to get some bigger stories soon.
"
" Ted: Bigger like, uh, gorilla with an up-right bass? Sorry, you're really pretty. (Robin laughs and waves to her friends) Oh, your friends don't seem too happy.
"," Robin: Yeah, see the one in the middle just got dumped by her boyfriend so tonight every guy is... ""The enemy"".
"
" Ted: You know if you don't make your friend feel better you could throw a drink at my face. I don't mind.
"," Robin: She would love that! It does look fun in the movies.
"
" Ted: Hey, you wanna have dinner with me Saturday night?
"," Robin: Oh, I can't. I'm going to Orlando for a week on Friday. Some guys attempting to make a big (cut) so my news is covering it.
"
" Ted: That's going to take a week?
"," Robin: Yeah, he's going to eat it too, it's another record.
"
" Ted: Uh, I know this is a long shot, but how about tomorrow night?
"," Robin: (stops) Yeah, (agrees) What the hell (passes number to Ted. Throws drink on Ted's face) JERK! (Walks away. Whispers) that was fun.
"
" Narrator: The next night, I took her out to this little bistro in Brooklyn.
"," Robin: Wow that is one bad-ass blue French horn.
"
" Ted: Yeah.
"," Robin: Mhmm.
"
" [Flashback to Date]
"," Robin: I've got five dogs.
"
" [Flashback to Date]
"," Robin: I love a scotch that's old enough to order its own scotch.
"
" [Flashback to Date]
"," Robin: Ray, when someone asks you if you're a god you say, ""Yes!""
"
" [Flashback to Date]
"," Robin: Do you want these? (Holding up remaining olives from her plate) I hate olives.
"
" Ted: The olive theory is based on my friends, Marshall and Lily. He hates olives, she loves them. In a weird way that's what makes them such a great couple. A Perfect balance (eats olive).
"," Robin: You know, I've had a jar of olives just sitting in my fridge forever.
"
